S n o w   G l a d   I   M e t   Y o u,http://www.opi.com/color/nail-lacquer/snow-glad-i-met-you,,2 2 7 7 7 8 1 0 1 0 1,https://www.opi.com/sites/default/files/styles/product_image_large/public/snow-glad-i-met-you-hrj01-nail%20lacquer-22777810101.jpg?itok=k-FwxIiH,opi
O r n a m e n t   t o   B e   T o g e t h e r,http://www.opi.com/color/nail-lacquer/ornament-be-together,,2 2 7 7 7 8 1 0 1 0 2,https://www.opi.com/sites/default/files/styles/product_image_large/public/ornament-to-be-together-hrj02-nail%20lacquer-22777810102_0.jpg?itok=7d70m-Ab,opi
C o a l m a t e s,http://www.opi.com/color/nail-lacquer/coalmates,,2 2 7 7 7 8 1 0 1 0 3,https://www.opi.com/sites/default/files/styles/product_image_large/public/coalmates-hrj03-nail%20lacquer-22777810103_0.jpg?itok=GvEEF3Dx,opi
H o l i d a z e d   O v e r   Y o u,http://www.opi.com/color/nail-lacquer/holidazed-over-you,,2 2 7 7 7 8 1 0 1 0 4,https://www.opi.com/sites/default/files/styles/product_image_large/public/holidazed-over-you-hrj04-nail%20lacquer-22777810104_0.jpg?itok=oRAEmoSq,opi
F e e l   t h e   C h e m i s - t r e e,http://www.opi.com/color/nail-lacquer/feel-chemis-tree,,2 2 7 7 7 8 1 0 1 0 5,https://www.opi.com/sites/default/files/styles/product_image_large/public/feel-the-chemis-tree-hrj05-nail%20lacquer-22777810105_0.jpg?itok=bP4vcoE5,opi
W a n n a   W r a p ?,http://www.opi.com/color/nail-lacquer/wanna-wrap,,2 2 7 7 7 8 1 0 1 0 6,https://www.opi.com/sites/default/files/styles/product_image_large/public/wanna-wrap-hrj06-nail%20lacquer-22777810106_0.jpg?itok=dUG_T01S,opi
T h e   C o l o r   T h a t   K e e p s   O n   G i v i n g,http://www.opi.com/color/nail-lacquer/color-keeps-giving,,2 2 7 7 7 8 1 0 1 0 7,https://www.opi.com/sites/default/files/styles/product_image_large/public/the-color-that-keeps-on-giving-hrj07-nail%20lacquer-22777810107_0.jpg?itok=fyZj_qWw,opi
S e n d i n g   Y o u   H o l i d a y   H u g s,http://www.opi.com/color/nail-lacquer/sending-you-holiday-hugs,,2 2 7 7 7 8 1 0 1 0 8,https://www.opi.com/sites/default/files/styles/product_image_large/public/sending-you-holiday-hugs-hrj08-nail%20lacquer-22777810108_0.jpg?itok=h1dwv7se,opi
"A d a m   s a i d   "" I t ' s   N e w   Y e a r ' s ,   E v e """,http://www.opi.com/color/nail-lacquer/adam-said-its-new-years-eve,,2 2 7 7 7 8 1 0 1 0 9,https://www.opi.com/sites/default/files/styles/product_image_large/public/adam-said-its-new-years-eve-hrj09-nail%20lacquer-22777810109_0.jpg?itok=pKdzqVOy,opi
M y   W i s h   L i s t   i s   Y o u,http://www.opi.com/color/nail-lacquer/my-wish-list-you,,2 2 7 7 7 8 1 0 1 1 0,https://www.opi.com/sites/default/files/styles/product_image_large/public/my-wish-list-is-you-hrj10-nail%20lacquer-22777810110_0.jpg?itok=JP7qSy39,opi
T o p   t h e   P a c k a g e   w i t h   a   B e a u,http://www.opi.com/color/nail-lacquer/top-package-beau,,2 2 7 7 7 8 1 0 1 1 1,https://www.opi.com/sites/default/files/styles/product_image_large/public/top-the-package-with-a-beau-hrj11-nail%20lacquer-22777810111_0.jpg?itok=fyEPYDPW,opi
G i f t   o f   G o l d   N e v e r   G e t s   O l d,http://www.opi.com/color/nail-lacquer/gift-gold-never-gets-old,,2 2 7 7 7 8 1 0 1 1 2,https://www.opi.com/sites/default/files/styles/product_image_large/public/gift-of-gold-never-gets-old-hrj12-nail%20lacquer-22777810112_0.jpg?itok=oo53qRY0,opi
B e   T h e r e   i n   a   P r o s e c c o,http://www.opi.com/color/nail-lacquer/be-there-prosecco,,2 2 9 9 5 1 5 4 0 3 1,https://www.opi.com/sites/default/files/styles/product_image_large/public/BeThereInAProsecco_NL_V31_1.jpg?itok=UfdOVrYz,opi
B u b b l e   B a t h,http://www.opi.com/color/nail-lacquer/bubble-bath,,2 2 0 0 1 0 1 4 0 8 5,https://www.opi.com/sites/default/files/styles/product_image_large/public/BubbleBath_NL_S86.jpg?itok=HMaPtpQq,opi
S t o p   I t   I ’ m   B l u s h i n g !,http://www.opi.com/color/nail-lacquer/stop-it-im-blushing,,2 2 9 9 4 2 5 7 0 7 4,https://www.opi.com/sites/default/files/styles/product_image_large/public/StopitImBlushing_NL_T74_9.jpg?itok=Zl8G4Zn7,opi
P a s s i o n,http://www.opi.com/color/nail-lacquer/passion,,2 2 0 0 1 0 1 4 0 5 4,https://www.opi.com/sites/default/files/styles/product_image_large/public/Passion_NL_H19_9.jpg?itok=oSzwrA07,opi
D o   Y o u   T a k e   L e i   A w a y ?,http://www.opi.com/color/nail-lacquer/do-you-take-lei-away,,2 2 0 0 0 3 5 4 8 6 7,https://www.opi.com/sites/default/files/styles/product_image_large/public/DoYouTakeLeiAway_NL_H67.jpg?itok=SNHfMIY-,opi
P u t   i t   i n   N e u t r a l,http://www.opi.com/color/nail-lacquer/put-it-neutral,,2 2 9 9 5 1 0 0 2 6 5,https://www.opi.com/sites/default/files/styles/product_image_large/public/PutitinNeutral_NL_T65_9.jpg?itok=4YVYjI_n,opi
T i r a m i s u   f o r   T w o,http://www.opi.com/color/nail-lacquer/tiramisu-two,,2 2 9 9 5 1 5 4 0 2 8,https://www.opi.com/sites/default/files/styles/product_image_large/public/TiramisuForTwo_NL_V28_10.jpg?itok=DvrodeBr,opi
